time,from_state,to_state
0.9871353304172825,1,2
1.4516827882178858,2,1
2.520396273694791,1,2
4.640420157467751,2,1
5.05236363553317,1,2
5.4115616204316055,2,1
6.897376867720434,1,2
8.969808974893349,2,1
9.181639143756916,1,2
12.430500850344178,2,1
13.115210522011417,1,2
16.537739614075914,2,1
17.88386896782439,1,2
19.8393290707207,2,1
20.325141469375087,1,2
21.11825039543013,2,1
21.32418424624305,1,2
23.04313069327103,2,1
25.17322566905935,1,2
26.278102120369134,2,1
26.380530242807264,1,2
29.1868186081597,2,1
29.90977909832255,1,2
31.44723828183245,2,1
31.468145131397343,1,2
33.023123458877656,2,1
34.13726100961946,1,2
37.67241645561309,2,1
38.91568974855616,1,2
39.56663593158588,2,1
42.59278345673534,1,2
46.43291550781534,2,1
46.734225986338515,1,2
47.027539641703555,2,1
47.78051551742131,1,2
48.688087035169005,2,1
51.25628313680244,1,2
52.93049745922703,2,1
53.14249853772375,1,2
54.16557725404411,2,1
54.30853908729324,1,2
54.31409797269269,2,1
54.33323832056081,1,2
57.673025076832374,2,1
57.843229618457585,1,2
57.898391404377456,2,1
58.42026595804479,1,2
59.324568979282816,2,1
59.54358102461305,1,2
59.68006231928298,2,1
60.412587499013256,1,2
61.15256439817736,2,1
63.07387685442317,1,2
64.07912459633138,2,1
64.15053486298983,1,2
64.53320323096074,2,1
64.85065941675037,1,2
65.30123783929668,2,1
66.98611778937425,1,2
68.3809114897315,2,1
69.0515629501181,1,2
70.89607055333538,2,1
71.69302590159867,1,2
74.68873344553464,2,1
75.2641759034508,1,2
76.16529462596908,2,1
76.9417134590003,1,2
79.50066103998519,2,1
79.9609613433369,1,2
80.25022549122308,2,1
81.68010135132205,1,2
83.1475638361717,2,1
85.9426376097895,1,2
86.14304063651893,2,1
87.16065092389698,1,2
90.43756791618668,2,1
91.01651293000336,1,2
91.52179827374155,2,1
92.68760432614656,1,2
94.01870353803614,2,1
94.31310211026742,1,2
95.90947940346584,2,1
96.24315671586571,1,2
96.49072777107249,2,1
96.78489008659247,1,2
97.55405713760416,2,1
